MINIMAX: Boss=(22, 32), Player=(45, 21), Choice=('MOVE', (23, 32))
MINIMAX: Boss=(23, 32), Player=(43, 21), Choice=('MOVE', (24, 32))
MINIMAX: Boss=(24, 32), Player=(46, 21), Choice=('MOVE', (25, 32))
MINIMAX: Boss=(25, 32), Player=(46, 21), Choice=('MOVE', (26, 32))
MINIMAX: Boss=(26, 32), Player=(46, 21), Choice=('MOVE', (27, 32))
MINIMAX: Boss=(27, 32), Player=(46, 21), Choice=('MOVE', (28, 32))
MINIMAX: Boss=(28, 32), Player=(46, 21), Choice=('MOVE', (29, 31))
MINIMAX: Boss=(29, 31), Player=(46, 21), Choice=('MOVE', (30, 30))
MINIMAX: Boss=(30, 30), Player=(46, 21), Choice=('MOVE', (31, 29))
MINIMAX: Boss=(31, 29), Player=(46, 21), Choice=('MOVE', (32, 28))
MINIMAX: Boss=(32, 28), Player=(45, 21), Choice=('MOVE', (33, 27))
MINIMAX: Boss=(33, 27), Player=(44, 21), Choice=('MOVE', (34, 26))
MINIMAX: Boss=(34, 26), Player=(44, 21), Choice=('MOVE', (35, 25))
MINIMAX: Boss=(35, 25), Player=(47, 21), Choice=('MOVE', (36, 24))
MINIMAX: Boss=(36, 24), Player=(44, 21), Choice=('MOVE', (37, 23))
MINIMAX: Boss=(37, 23), Player=(44, 21), Choice=('MOVE', (38, 22))
MINIMAX: Boss=(38, 22), Player=(43, 21), Choice=('MOVE', (39, 21))
MINIMAX: Boss=(39, 21), Player=(38, 21), Choice=ATTACK
MINIMAX: Boss=(39, 21), Player=(36, 26), Choice=('MOVE', (38, 22))
MINIMAX: Boss=(38, 22), Player=(36, 29), Choice=('MOVE', (38, 23))
MINIMAX: Boss=(38, 23), Player=(40, 29), Choice=('MOVE', (38, 24))
MINIMAX: Boss=(38, 24), Player=(36, 29), Choice=('MOVE', (38, 25))
MINIMAX: Boss=(38, 25), Player=(31, 29), Choice=('MOVE', (37, 25))
MINIMAX: Boss=(37, 25), Player=(27, 36), Choice=WAIT
MINIMAX: Boss=(37, 25), Player=(22, 36), Choice=('MOVE', (36, 25))
MINIMAX: Boss=(36, 25), Player=(24, 36), Choice=('MOVE', (35, 25))
MINIMAX: Boss=(35, 25), Player=(22, 36), Choice=('MOVE', (34, 25))
MINIMAX: Boss=(34, 25), Player=(18, 36), Choice=('MOVE', (33, 25))
MINIMAX: Boss=(33, 25), Player=(21, 33), Choice=('MOVE', (32, 25))
MINIMAX: Boss=(32, 25), Player=(17, 28), Choice=('MOVE', (31, 25))
MINIMAX: Boss=(31, 25), Player=(15, 23), Choice=('MOVE', (30, 25))
MINIMAX: Boss=(30, 25), Player=(12, 29), Choice=('MOVE', (29, 25))
